"old";"new"
"Xã Tri Thủy";"Tri Thuy"
"Xã Bạch Hạ";"Bach Ha"
"Xã Quang Lãng";"Quang Lang"
"Xã Minh Tân";"Minh Tan"
"Thị trấn Quang Minh";"Quang Minh"
"Thị trấn Chi Đông";"Chi Dong"
"Xã Kim Hoa";"Kim Hoa"
"Xã Thạch Đà";"Thach Da"
"Xã Tiến Thắng";"Tien Thang"
"Xã Tự Lập";"Tu Lap"
"Xã Thanh Lâm";"Thanh Lam"
"Xã Tam Đồng";"Tam Dong"
"Xã Liên Mạc";"Lien Mac"
"Xã Vạn Yên";"Van Yen"
"Xã Đại Thịnh";"Dai Thinh"
"Xã Chu Phan";"Chu Phan"
"Xã Tiến Thịnh";"Tien Thinh"
"Xã Mê Linh";"Me Linh"
"Xã Văn Khê";"Van Khe"
"Xã Hoàng Kim";"Hoang Kim"
"Xã Tráng Việt";"Trang Viet"
"Phường Liên Mạc";"Lien Mac"
"Phường Cổ Nhuế 1";"Co Nhue 1"
"Phường Xuân Đỉnh";"Xuan Dinh"
"Phường Tây Tựu";"Tay Tuu"
"Phường Phúc Diễn";"Phuc Dien"
"Phường Thượng Cát";"Thuong Cat"
"Phường Thụy Phương";"Thuy Phuong"
"Phường Đông Ngạc";"Dong Ngac"
"Phường Cổ Nhuế 2";"Co Nhue 2"
"Phường Đức Thắng";"Duc Thang"
"Phường Xuân Tảo";"Xuan Tao"
"Phường Phú Diễn";"Phu Dien"
"Phường Quán Toan";"Quan Toan"
"Phường Hùng Vương";"Hung Vuong"
"Phường Sở Dầu";"So Dau"
"Phường Thượng Lý";"Thuong Ly"
"Phường Trại Chuối";"Trai Chuoi"
"Phường Hạ Lý";"Ha Ly"
"Phường Phan Bội Châu";"Phan Boi Chau"
"Phường Phạm Hồng Thái";"Pham Hong Thai"
"Phường Máy Tơ";"May To"
"Phường Máy Chai";"May Chai"
"Phường Vạn Mỹ";"Van My"
"Phường Lạc Viên";"Lac Vien"
"Phường Cầu Tre";"Cau Tre"
"Phường Lương Khánh Thiện";"Luong Khanh Thien"
"Phường Gia Viên";"Gia Vien"
"Phường Cầu Đất";"Cau Dat"
"Phường Lạch Tray";"Lach Tray"
"Phường Đằng Giang";"Dang Giang"
"Phường Đông Khê";"Dong Khe"
"Phường Đổng Quốc Bình";"Dong Quoc Binh"
"Phường Cát Dài";"Cat Dai"
"Phường An Biên";"An Bien"
"Phường Nghĩa Xá";"Nghia Xa"
"Phường Lam Sơn";"Lam Son"
"Phường An Dương";"An Duong"
"Phường Trần Nguyên Hãn";"Tran Nguyen Han"
"Phường Hồ Nam";"Ho Nam"
"Phường Trại Cau";"Trai Cau"
"Phường Dư Hàng";"Du Hang"
"Phường Hàng Kênh";"Hang Kenh"
"Phường Đông Hải";"Dong Hai"
"Phường Niệm Nghĩa";"Niem Nghia"
"Phường Dư Hàng Kênh";"Du Hang Kenh"
"Phường Vĩnh Niệm";"Vinh Niem"
"Phường Kênh Dương";"Kenh Duong"
"Phường Quán Trữ";"Quan Tru"
"Phường Đồng Hoà";"Dong Hoa"
"Phường Bắc Sơn";"Bac Son"
"Phường Nam Sơn";"Nam Son"
"Phường Ngọc Sơn";"Ngoc Son"
"Phường Trần Thành Ngọ";"Tran Thanh Ngo"
"Phường Văn Đẩu";"Van Dau"
"Phường Phù Liễn";"Phu Lien"
"Phường Tràng Minh";"Trang Minh"
"Phường Lãm Hà";"Lam Ha"
"Phường Ngọc Xuyên";"Ngoc Xuyen"
"Phường Ngọc Hải";"Ngoc Hai"
"Phường Vạn Hương";"Van Huong"
"Phường Vạn Sơn";"Van Son"
"Phường Bàng La";"Bang La"
"Phường Minh Đức";"Minh Duc"
"Phường Hợp Đức";"Hop Duc"
"Phường Đa Phúc";"Da Phuc"
"Phường Hưng Đạo";"Hung Dao"
"Phường Anh Dũng";"Anh Dung"
"Phường Hải Thành";"Hai Thanh"
"Phường Hòa Nghĩa";"Hoa Nghia"
"Phường Tân Thành";"Tan Thanh"
"Thị trấn Núi Đèo";"Nui Deo"
"Thị trấn Minh Đức";"Minh Duc"
"Xã Lại Xuân";"Lai Xuan"
"Xã An Sơn";"An Son"
"Xã Kỳ Sơn";"Ky Son"
"Xã Liên Khê";"Lien Khe"
"Xã Lưu Kiếm";"Luu Kiem"
"Xã Lưu Kỳ";"Luu Ky"
"Xã Gia Minh";"Gia Minh"
"Xã Gia Đức";"Gia Duc"
"Xã Phù Ninh";"Phu Ninh"
"Xã Quảng Thanh";"Quang Thanh"
"Xã Chính Mỹ";"Chinh My"
"Xã Kênh Giang";"Kenh Giang"
