"old";"new"
"Xã Hợp Thành";"Hop Thanh"
"Xã Cao Nhân";"Cao Nhan"
"Xã Mỹ Đồng";"My Dong"
"Xã Hoà Bình";"Hoa Binh"
"Xã Trung Hà";"Trung Ha"
"Xã An Lư";"An Lu"
"Xã Thuỷ Triều";"Thuy Trieu"
"Xã Ngũ Lão";"Ngu Lao"
"Xã Phục Lễ";"Phuc Le"
"Xã Phả Lễ";"Pha Le"
"Xã Lập Lễ";"Lap Le"
"Xã Kiền Bái";"Kien Bai"
"Xã Thiên Hương";"Thien Huong"
"Xã Thuỷ Sơn";"Thuy Son"
"Xã Thuỷ Đường";"Thuy Duong"
"Xã Hoàng Động";"Hoang Dong"
"Xã Lâm Động";"Lam Dong"
"Xã Hoa Động";"Hoa Dong"
"Xã Tân Dương";"Tan Duong"
"Xã Dương Quan";"Duong Quan"
"Thị trấn An Dương";"An Duong"
"Xã Lê Thiện";"Le Thien"
"Xã Đại Bản";"Dai Ban"
"Xã An Hoà";"An Hoa"
"Xã An Hưng";"An Hung"
"Xã An Hồng";"An Hong"
"Xã Đặng Cương";"Dang Cuong"
"Xã Quốc Tuấn";"Quoc Tuan"
"Xã An Đồng";"An Dong"
"Phường Cát Bi";"Cat Bi"
"Phường Đông Hải 2";"Dong Hai 2"
"Phường Đằng Lâm";"Dang Lam"
"Phường Đằng Hải";"Dang Hai"
"Phường Nam Hải";"Nam Hai"
"Phường Tràng Cát";"Trang Cat"
"Phường Đông Hải 1";"Dong Hai 1"
"Phường Thành Tô";"Thanh To"
"Thị trấn An Lão";"An Lao"
"Xã Bát Trang";"Bat Trang"
"Xã Trường Thọ";"Truong Tho"
"Xã Trường Thành";"Truong Thanh"
"Xã Quang Hưng";"Quang Hung"
"Xã An Thắng";"An Thang"
"Thị trấn Trường Sơn";"Truong Son"
"Xã Thái Sơn";"Thai Son"
"Xã Tân Viên";"Tan Vien"
"Xã Mỹ Đức";"My Duc"
"Xã Chiến Thắng";"Chien Thang"
"Xã An Thọ";"An Tho"
"Xã An Thái";"An Thai"
"Thị trấn Núi Đối";"Nui Doi"
"Xã Đông Phương";"Dong Phuong"
"Xã Thuận Thiên";"Thuan Thien"
"Xã Ngũ Phúc";"Ngu Phuc"
"Xã Kiến Quốc";"Kien Quoc"
"Xã Du Lễ";"Du Le"
"Xã Thanh Sơn";"Thanh Son"
"Xã Đại Hà";"Dai Ha"
"Xã Ngũ Đoan";"Ngu Doan"
"Xã Tân Phong";"Tan Phong"
"Xã Tân Trào";"Tan Trao"
"Xã Đoàn Xá";"Doan Xa"
"Xã Tú Sơn";"Tu Son"
"Xã Đại Hợp";"Dai Hop"
"Thị trấn Tiên Lãng";"Tien Lang"
"Xã Tiên Cường";"Tien Cuong"
"Xã Tự Cường";"Tu Cuong"
"Xã Tiên Tiến";"Tien Tien"
"Xã Quyết Tiến";"Quyet Tien"
"Xã Khởi Nghĩa";"Khoi Nghia"
"Xã Tiên Thanh";"Tien Thanh"
"Xã Cấp Tiến";"Cap Tien"
"Xã Kiến Thiết";"Kien Thiet"
"Xã Đoàn Lập";"Doan Lap"
"Xã Bạch Đằng";"Bach Dang"
"Xã Quang Phục";"Quang Phuc"
"Xã Toàn Thắng";"Toan Thang"
"Xã Tiên Thắng";"Tien Thang"
"Xã Tiên Minh";"Tien Minh"
"Xã Bắc Hưng";"Bac Hung"
"Xã Nam Hưng";"Nam Hung"
"Xã Hùng Thắng";"Hung Thang"
"Xã Tây Hưng";"Tay Hung"
"Xã Đông Hưng";"Dong Hung"
"Xã Tiên Hưng";"Tien Hung"
"Xã Vinh Quang";"Vinh Quang"
"Thị trấn Vĩnh Bảo";"Vinh Bao"
"Xã Giang Biên";"Giang Bien"
"Xã Thắng Thuỷ";"Thang Thuy"
"Xã Trung Lập";"Trung Lap"
"Xã Việt Tiến";"Viet Tien"
"Xã Vĩnh An";"Vinh An"
"Xã Vĩnh Long";"Vinh Long"
"Xã Hiệp Hoà";"Hiep Hoa"
"Xã Tân Liên";"Tan Lien"
"Xã Nhân Hoà";"Nhan Hoa"
"Xã Tam Đa";"Tam Da"
"Xã Hưng Nhân";"Hung Nhan"
"Xã Đồng Minh";"Dong Minh"
"Xã Thanh Lương";"Thanh Luong"
"Xã Liên Am";"Lien Am"
"Xã Lý Học";"Ly Hoc"
"Xã Tam Cường";"Tam Cuong"
"Xã Vĩnh Phong";"Vinh Phong"
"Xã Cộng Hiền";"Cong Hien"
"Xã Cao Minh";"Cao Minh"
"Xã Cổ Am";"Co Am"
"Xã Vĩnh Tiến";"Vinh Tien"
"Xã Trấn Dương";"Tran Duong"
"Thị trấn Cát Bà";"Cat Ba"
"Thị trấn Cát Hải";"Cat Hai"
"Xã Nghĩa Lộ";"Nghia Lo"
"Xã Đồng Bài";"Dong Bai"
"Xã Hoàng Châu";"Hoang Chau"
"Xã Văn Phong";"Van Phong"
"Xã Phù Long";"Phu Long"
"Xã Gia Luận";"Gia Luan"
"Xã Hiền Hào";"Hien Hao"
"Xã Trân Châu";"Tran Chau"
"Xã Việt Hải";"Viet Hai"
"Xã Xuân Đám";"Xuan Dam"
"Phường Tích Sơn";"Tich Son"
"Phường Liên Bảo";"Lien Bao"
"Phường Hội Hợp";"Hoi Hop"
"Phường Đống Đa";"Dong Da"
"Xã Định Trung";"Dinh Trung"
"Phường Khai Quang";"Khai Quang"
"Xã Thanh Trù";"Thanh Tru"
"Phường Trưng Nhị";"Trung Nhi"
"Phường Trưng Trắc";"Trung Trac"
"Phường Xuân Hoà";"Xuan Hoa"
"Xã Nam Viêm";"Nam Viem"
"Xã Tiền Châu";"Tien Chau"
"Phường Phúc Thắng";"Phuc Thang"
"Xã Ngọc Thanh";"Ngoc Thanh"
"Thị trấn Lập Thạch";"Lap Thach"
"Xã Quang Sơn";"Quang Son"
"Xã Hợp Lý";"Hop Ly"
"Xã Bắc Bình";"Bac Binh"
"Xã Liễn Sơn";"Lien Son"
"Thị trấn Hoa Sơn";"Hoa Son"
"Xã Xuân Hòa";"Xuan Hoa"
"Xã Vân Trục";"Van Truc"
"Xã Liên Hòa";"Lien Hoa"
"Xã Tử Du";"Tu Du"
"Xã Bàn Giản";"Ban Gian"
"Xã Xuân Lôi";"Xuan Loi"
"Xã Đồng Ích";"Dong Ich"
"Xã Tiên Lữ";"Tien Lu"
"Xã Văn Quán";"Van Quan"
"Xã Đình Chu";"Dinh Chu"
"Xã Triệu Đề";"Trieu De"
"Xã Sơn Đông";"Son Dong"
"Thị trấn Tam Đảo";"Tam Dao"
"Xã Đạo Trù";"Dao Tru"
"Xã Đại Đình";"Dai Dinh"
"Xã Tam Quan";"Tam Quan"
"Xã Yên Dương";"Yen Duong"
"Xã Bồ Lý";"Bo Ly"
"Xã Hồ Sơn";"Ho Son"
"Xã Hợp Châu";"Hop Chau"
"Xã Hoàng Hoa";"Hoang Hoa"
"Xã Đồng Tĩnh";"Dong Tinh"
"Thị trấn Hợp Hòa";"Hop Hoa"
"Xã Kim Long";"Kim Long"
"Xã Hướng Đạo";"Huong Dao"
"Xã Đạo Tú";"Dao Tu"
"Xã An Hòa";"An Hoa"
"Xã Thanh Vân";"Thanh Van"
"Xã Duy Phiên";"Duy Phien"
"Xã Hoàng Đan";"Hoang Dan"
"Xã Hoàng Lâu";"Hoang Lau"
"Xã Vân Hội";"Van Hoi"
"Xã Hợp Thịnh";"Hop Thinh"
"Thị trấn Hương Canh";"Huong Canh"
"Xã Trung Mỹ";"Trung My"
"Thị trấn Gia Khánh";"Gia Khanh"
"Xã Bá Hiến";"Ba Hien"
"Xã Thiện Kế";"Thien Ke"
"Xã Tam Hợp";"Tam Hop"
"Xã Quất Lưu";"Quat Luu"
"Xã Sơn Lôi";"Son Loi"
"Xã Đạo Đức";"Dao Duc"
"Thị trấn Thanh Lãng";"Thanh Lang"
"Xã Phú Xuân";"Phu Xuan"
"Thị trấn Vĩnh Tường";"Vinh Tuong"
"Xã Kim Xá";"Kim Xa"
"Xã Chấn Hưng";"Chan Hung"
"Xã Nghĩa Hưng";"Nghia Hung"
"Xã Yên Lập";"Yen Lap"
"Xã Việt Xuân";"Viet Xuan"
"Xã Bồ Sao";"Bo Sao"
"Xã Lũng Hoà";"Lung Hoa"
"Xã Cao Đại";"Cao Dai"
"Thị trấn Thổ Tang";"Tho Tang"
"Xã Vĩnh Sơn";"Vinh Son"
"Xã Bình Dương";"Binh Duong"
"Xã Tân Cương";"Tan Cuong"
"Xã Phú Thịnh";"Phu Thinh"
"Xã Thượng Trưng";"Thuong Trung"
"Xã Vũ Di";"Vu Di"
"Xã Lý Nhân";"Ly Nhan"
"Xã Tuân Chính";"Tuan Chinh"
"Xã Vân Xuân";"Van Xuan"
"Xã Tam Phúc";"Tam Phuc"
"Thị trấn Tứ Trưng";"Tu Trung"
"Xã Ngũ Kiên";"Ngu Kien"
"Xã An Tường";"An Tuong"
"Xã Vĩnh Thịnh";"Vinh Thinh"
"Xã Phú Đa";"Phu Da"
"Xã Vĩnh Ninh";"Vinh Ninh"
"Thị trấn Yên Lạc";"Yen Lac"
"Xã Đồng Cương";"Dong Cuong"
"Xã Đồng Văn";"Dong Van"
"Xã Bình Định";"Binh Dinh"
"Xã Trung Nguyên";"Trung Nguyen"
"Xã Tề Lỗ";"Te Lo"
"Xã Tam Hồng";"Tam Hong"
"Xã Yên Đồng";"Yen Dong"
"Xã Văn Tiến";"Van Tien"
"Xã Nguyệt Đức";"Nguyet Duc"
"Xã Yên Phương";"Yen Phuong"
"Xã Hồng Phương";"Hong Phuong"
"Xã Trung Kiên";"Trung Kien"
"Xã Đại Tự";"Dai Tu"
"Xã Hồng Châu";"Hong Chau"
"Xã Lãng Công";"Lang Cong"
"Xã Quang Yên";"Quang Yen"
"Xã Bạch Lưu";"Bach Luu"
"Xã Hải Lựu";"Hai Luu"
"Xã Đồng Quế";"Dong Que"
"Xã Nhân Đạo";"Nhan Dao"
"Xã Đôn Nhân";"Don Nhan"
"Xã Phương Khoan";"Phuong Khoan"
"Xã Nhạo Sơn";"Nhao Son"
"Thị trấn Tam Sơn";"Tam Son"
"Xã Như Thụy";"Nhu Thuy"
"Xã Yên Thạch";"Yen Thach"
"Xã Đồng Thịnh";"Dong Thinh"
"Xã Tứ Yên";"Tu Yen"
"Xã Đức Bác";"Duc Bac"
"Xã Cao Phong";"Cao Phong"
"Phường Ninh Xá";"Ninh Xa"
"Phường Đáp Cầu";"Dap Cau"
"Phường Thị Cầu";"Thi Cau"
"Phường Tiền An";"Tien An"
"Phường Vệ An";"Ve An"
"Phường Suối Hoa";"Suoi Hoa"
"Phường Vũ Ninh";"Vu Ninh"
"Phường Kinh Bắc";"Kinh Bac"
"Phường Đại Phúc";"Dai Phuc"
"Phường Võ Cường";"Vo Cuong"
"Thị trấn Chờ";"Cho"
"Xã Dũng Liệt";"Dung Liet"
"Xã Hòa Tiến";"Hoa Tien"
"Xã Tam Giang";"Tam Giang"
"Xã Đông Tiến";"Dong Tien"
"Xã Thụy Hòa";"Thuy Hoa"
"Xã Hòa Long";"Hoa Long"
"Xã Yên Phụ";"Yen Phu"
"Xã Đông Phong";"Dong Phong"
"Phường Vạn An";"Van An"
"Xã Long Châu";"Long Chau"
"Xã Trung Nghĩa";"Trung Nghia"
"Phường Khúc Xuyên";"Khuc Xuyen"
"Xã Văn Môn";"Van Mon"
"Xã Đông Thọ";"Dong Tho"
"Phường Phong Khê";"Phong Khe"
"Thị trấn Phố Mới";"Pho Moi"
"Xã Việt Thống";"Viet Thong"
"Xã Kim Chân";"Kim Chan"
"Xã Đại Xuân";"Dai Xuan"
"Xã Nhân Hòa";"Nhan Hoa"
"Xã Bằng An";"Bang An"
"Xã Quế Tân";"Que Tan"
"Phường Vân Dương";"Van Duong"
"Xã Phù Lương";"Phu Luong"
"Xã Phương Liễu";"Phuong Lieu"
"Xã Phượng Mao";"Phuong Mao"
"Xã Phù Lãng";"Phu Lang"
"Xã Ngọc Xá";"Ngoc Xa"
"Xã Châu Phong";"Chau Phong"
"Xã Cách Bi";"Cach Bi"
"Xã Yên Giả";"Yen Gia"
"Xã Đào Viên";"Dao Vien"
"Xã Bồng Lai";"Bong Lai"
"Xã Mộ Đạo";"Mo Dao"
"Xã Đức Long";"Duc Long"
"Xã Chi Lăng";"Chi Lang"
"Xã Hán Quảng";"Han Quang"
"Thị trấn Lim";"Lim"
"Xã Phú Lâm";"Phu Lam"
"Phường Khắc Niệm";"Khac Niem"
"Xã Nội Duệ";"Noi Due"
"Phường Hạp Lĩnh";"Hap Linh"
"Xã Liên Bão";"Lien Bao"
"Xã Lạc Vệ";"Lac Ve"
"Xã Hiên Vân";"Hien Van"
"Xã Việt Đoàn";"Viet Doan"
"Xã Hoàn Sơn";"Hoan Son"
"Xã Phật Tích";"Phat Tich"
"Xã Minh Đạo";"Minh Dao"
"Xã Tri Phương";"Tri Phuong"
"Xã Cảnh Hưng";"Canh Hung"
"Xã Tân Chi";"Tan Chi"
"Phường Đông Ngàn";"Dong Ngan"
"Xã Hương Mạc";"Huong Mac"
"Xã Tam Sơn";"Tam Son"
"Xã Phù Khê";"Phu Khe"
"Xã Tương Giang";"Tuong Giang"
"Phường Đồng Nguyên";"Dong Nguyen"
"Phường Đồng Kỵ";"Dong Ky"
"Phường Trang Hạ";"Trang Ha"
"Phường Tân Hồng";"Tan Hong"
"Phường Châu Khê";"Chau Khe"
"Phường Đình Bảng";"Dinh Bang"
"Xã Phù Chẩn";"Phu Chan"
"Xã Đại Đồng Thành";"Dai Dong Thanh"
"Xã Song Hồ";"Song Ho"
"Thị trấn Hồ";"Ho"
"Xã Mão Điền";"Mao Dien"
"Xã Đình Tổ";"Dinh To"
"Xã An Bình";"An Binh"
"Xã Hoài Thượng";"Hoai Thuong"
"Xã Trí Quả";"Tri Qua"
"Xã Gia Đông";"Gia Dong"
"Xã Thanh Khương";"Thanh Khuong"
"Xã Trạm Lộ";"Tram Lo"
"Xã Hà Mãn";"Ha Man"
"Xã Xuân Lâm";"Xuan Lam"
"Xã Ninh Xá";"Ninh Xa"
"Xã Ngũ Thái";"Ngu Thai"
"Xã Nghĩa Đạo";"Nghia Dao"
"Xã Song Liễu";"Song Lieu"
"Thị trấn Thứa";"Thua"
"Xã Trung Kênh";"Trung Kenh"
"Xã Phú Hòa";"Phu Hoa"
"Xã Mỹ Hương";"My Huong"
"Xã Tân Lãng";"Tan Lang"
"Xã Quảng Phú";"Quang Phu"
"Xã Lai Hạ";"Lai Ha"
"Xã An Thịnh";"An Thinh"
"Xã Trừng Xá";"Trung Xa"
"Xã Trung Chính";"Trung Chinh"
"Xã Phú Lương";"Phu Luong"
"Xã Lâm Thao";"Lam Thao"
"Thị trấn Gia Bình";"Gia Binh"
"Xã Xuân Lai";"Xuan Lai"
"Xã Vạn Ninh";"Van Ninh"
"Xã Thái Bảo";"Thai Bao"
"Xã Đại Lai";"Dai Lai"
"Xã Giang Sơn";"Giang Son"
"Xã Đông Cứu";"Dong Cuu"
"Xã Cao Đức";"Cao Duc"
"Xã Song Giang";"Song Giang"
"Xã Lãng Ngâm";"Lang Ngam"
"Xã Nhân Thắng";"Nhan Thang"
"Xã Đại Bái";"Dai Bai"
"Xã Quỳnh Phú";"Quynh Phu"
"Phường Phạm Ngũ Lão";"Pham Ngu Lao"
"Phường Lê Thanh Nghị";"Le Thanh Nghi"
"Phường Cẩm Thượng";"Cam Thuong"
"Phường Bình Hàn";"Binh Han"
"Phường Ngọc Châu";"Ngoc Chau"
"Phường Thanh Bình";"Thanh Binh"
"Phường Hải Tân";"Hai Tan"
"Phường Việt Hòa";"Viet Hoa"
"Phường Tứ Minh";"Tu Minh"
"Xã Thượng Đạt";"Thuong Dat"
"Xã An Châu";"An Chau"
"Xã Nam Đồng";"Nam Dong"
"Xã Ái Quốc";"Ai Quoc"
"Xã Thạch Khôi";"Thach Khoi"
"Phường Tân Bình";"Tan Binh"
"Phường Nhị Châu";"Nhi Chau"
"Phường Sao Đỏ";"Sao Do"
"Phường Bến Tắm";"Ben Tam"
"Phường Phả Lại";"Pha Lai"
"Xã Hưng Đạo";"Hung Dao"
"Xã Bắc An";"Bac An"
"Xã Hoàng Hoa Thám";"Hoang Hoa Tham"
"Xã Cổ Thành";"Co Thanh"
"Phường Cộng Hòa";"Cong Hoa"
"Phường Hoàng Tân";"Hoang Tan"
"Xã Hoàng Tiến";"Hoang Tien"
"Xã Nhân Huệ";"Nhan Hue"
"Phường Văn An";"Van An"
"Phường Chí Minh";"Chi Minh"
"Phường Thái Học";"Thai Hoc"
"Xã An Lạc";"An Lac"
"Thị trấn Nam Sách";"Nam Sach"
"Xã Nam Tân";"Nam Tan"
"Xã Thanh Quang";"Thanh Quang"
"Xã Hiệp Cát";"Hiep Cat"
"Xã Nam Chính";"Nam Chinh"
"Xã Nam Trung";"Nam Trung"
"Xã Thái Tân";"Thai Tan"
"Xã An Lâm";"An Lam"
"Xã Phú Điền";"Phu Dien"
"Thị trấn Thanh Hà";"Thanh Ha"
"Xã Hồng Lạc";"Hong Lac"
"Xã Việt Hồng";"Viet Hong"
"Xã Thanh An";"Thanh An"
"Xã Thanh Lang";"Thanh Lang"
"Xã Cẩm Chế";"Cam Che"
"Xã Tân Việt";"Tan Viet"
"Xã Quyết Thắng";"Quyet Thang"
"Xã Tiền Tiến";"Tien Tien"
"Xã Tân An";"Tan An"
"Xã Thanh Hải";"Thanh Hai"
"Xã An Lương";"An Luong"
"Xã Phượng Hoàng";"Phuong Hoang"
"Xã Thanh Khê";"Thanh Khe"
"Xã Thanh Xá";"Thanh Xa"
"Xã Thanh Thủy";"Thanh Thuy"
"Xã Hợp Đức";"Hop Duc"
"Xã Thanh Bính";"Thanh Binh"
"Xã Thanh Cường";"Thanh Cuong"
"Xã Thanh Hồng";"Thanh Hong"
"Xã Vĩnh Lập";"Vinh Lap"
"Thị trấn Kinh Môn";"Kinh Mon"
"Xã Minh Hòa";"Minh Hoa"
"Xã Hiến Thành";"Hien Thanh"
"Xã Thái Thịnh";"Thai Thinh"
"Xã Hiệp An";"Hiep An"
"Xã An Phụ";"An Phu"
"Xã Thượng Quận";"Thuong Quan"
"Xã Hiệp Hòa";"Hiep Hoa"
"Xã Thăng Long";"Thang Long"
"Xã Lạc Long";"Lac Long"
"Xã Phúc Thành B";"Phuc Thanh B"
"Xã Lê Ninh";"Le Ninh"
"Xã Thất Hùng";"That Hung"
"Xã An Sinh";"An Sinh"
"Xã Phạm Mệnh";"Pham Menh"
"Xã Hiệp Sơn";"Hiep Son"
"Xã Hoành Sơn";"Hoanh Son"
"Xã Duy Tân";"Duy Tan"
"Thị trấn Phú Thứ";"Phu Thu"
"Thị trấn Minh Tân";"Minh Tan"
"Thị trấn Phú Thái";"Phu Thai"
"Xã Lai Vu";"Lai Vu"
"Xã Thượng Vũ";"Thuong Vu"
"Xã Cổ Dũng";"Co Dung"
"Xã Việt Hưng";"Viet Hung"
"Xã Tuấn Hưng";"Tuan Hung"
"Xã Kim Xuyên";"Kim Xuyen"
"Xã Phúc Thành A";"Phuc Thanh A"
"Xã Kim Lương";"Kim Luong"
"Xã Kim Khê";"Kim Khe"
"Xã Kim Anh";"Kim Anh"
"Xã Kim Đính";"Kim Dinh"
"Xã Kim Tân";"Kim Tan"
"Xã Bình Dân";"Binh Dan"
"Xã Cẩm La";"Cam La"
"Xã Đồng Gia";"Dong Gia"
"Xã Đại Đức";"Dai Duc"
"Xã Tam Kỳ";"Tam Ky"
"Thị trấn Gia Lộc";"Gia Loc"
"Xã Trùng Khánh";"Trung Khanh"
"Xã Yết Kiêu";"Yet Kieu"
"Xã Gia Hòa";"Gia Hoa"
"Xã Đoàn Thượng";"Doan Thuong"
"Xã Hồng Hưng";"Hong Hung"
"Xã Gia Xuyên";"Gia Xuyen"
"Xã Gia Tân";"Gia Tan"
"Xã Gia Lương";"Gia Luong"
"Xã Gia Khánh";"Gia Khanh"
"Xã Thống Kênh";"Thong Kenh"
"Xã Đức Xương";"Duc Xuong"
"Xã Quang Minh";"Quang Minh"
"Xã Nhật Tân";"Nhat Tan"
"Xã Phạm Trấn";"Pham Tran"
"Xã Phương Hưng";"Phuong Hung"
"Thị trấn Tứ Kỳ";"Tu Ky"
"Xã Ngọc Sơn";"Ngoc Son"
"Xã Tái Sơn";"Tai Son"
"Xã Bình Lăng";"Binh Lang"
"Xã Ngọc Kỳ";"Ngoc Ky"
"Xã Đông Kỳ";"Dong Ky"
"Xã Tây Kỳ";"Tay Ky"
"Xã Tứ Xuyên";"Tu Xuyen"
"Xã Văn Tố";"Van To"
"Xã Phượng Kỳ";"Phuong Ky"
"Xã Cộng Lạc";"Cong Lac"
"Xã An Thanh";"An Thanh"
"Xã Tiên Động";"Tien Dong"
"Xã Nguyên Giáp";"Nguyen Giap"
"Xã Hà Thanh";"Ha Thanh"
"Xã Hà Kỳ";"Ha Ky"
"Xã Tân Kỳ";"Tan Ky"
"Xã Quảng Nghiệp";"Quang Nghiep"
"Xã Dân Chủ";"Dan Chu"
"Xã Quang Khải";"Quang Khai"
"Thị trấn Cẩm Giàng";"Cam Giang"
"Thị trấn Lai Cách";"Lai Cach"
"Xã Cẩm Hưng";"Cam Hung"
"Xã Ngọc Liên";"Ngoc Lien"
"Xã Kim Giang";"Kim Giang"
"Xã Thạch Lỗi";"Thach Loi"
"Xã Cẩm Sơn";"Cam Son"
"Xã Cẩm Định";"Cam Dinh"
"Xã Cẩm Hoàng";"Cam Hoang"
"Xã Cẩm Vũ";"Cam Vu"
"Xã Cẩm Văn";"Cam Van"
"Xã Đức Chính";"Duc Chinh"
"Xã Cao An";"Cao An"
"Xã Cẩm Đoài";"Cam Doai"
"Xã Cẩm Đông";"Cam Dong"
"Xã Tân Trường";"Tan Truong"
"Xã Cẩm Phúc";"Cam Phuc"
"Xã Cẩm Điền";"Cam Dien"
"Xã Lương Điền";"Luong Dien"
"Thị trấn Kẻ Sặt";"Ke Sat"
"Xã Hưng Thịnh";"Hung Thinh"
"Xã Tráng Liệt";"Trang Liet"
"Xã Vĩnh Tuy";"Vinh Tuy"
"Xã Vĩnh Hồng";"Vinh Hong"
"Xã Hồng Khê";"Hong Khe"
"Xã Nhân Quyền";"Nhan Quyen"
"Xã Bình Xuyên";"Binh Xuyen"
"Xã Thái Học";"Thai Hoc"
"Xã Tân Hồng";"Tan Hong"
"Xã Thái Dương";"Thai Duong"
"Xã Thúc Kháng";"Thuc Khang"
"Thị trấn Thanh Miện";"Thanh Mien"
"Xã Thanh Giang";"Thanh Giang"
"Xã Diên Hồng";"Dien Hong"
"Xã Chi Lăng Nam";"Chi Lang Nam"
"Xã Chi Lăng Bắc";"Chi Lang Bac"
"Xã Ngũ Hùng";"Ngu Hung"
"Xã Tứ Cường";"Tu Cuong"
"Xã Cao Thắng";"Cao Thang"
"Xã Phạm Kha";"Pham Kha"
"Xã Hùng Sơn";"Hung Son"
"Xã Đoàn Tùng";"Doan Tung"
"Xã Lam Sơn";"Lam Son"
"Xã Thanh Tùng";"Thanh Tung"
"Xã Lê Hồng";"Le Hong"
"Xã Đoàn Kết";"Doan Ket"
"Xã Ngô Quyền";"Ngo Quyen"
"Thị trấn Ninh Giang";"Ninh Giang"
"Xã Hiệp Lực";"Hiep Luc"
"Xã Hồng Dụ";"Hong Du"
"Xã Vĩnh Hòa";"Vinh Hoa"
"Xã Ninh Thành";"Ninh Thanh"
"Xã Tân Hương";"Tan Huong"
"Xã Nghĩa An";"Nghia An"
"Xã Ứng Hoè";"Ung Hoe"
"Xã Ninh Hòa";"Ninh Hoa"
"Xã Hồng Đức";"Hong Duc"
"Xã An Đức";"An Duc"
"Xã Đông Xuyên";"Dong Xuyen"
"Xã Ninh Hải";"Ninh Hai"
"Xã Hồng Phúc";"Hong Phuc"
"Xã Hưng Long";"Hung Long"
"Xã Hưng Thái";"Hung Thai"
"Xã Văn Hội";"Van Hoi"
"Xã Tân Quang";"Tan Quang"
"Xã Hoàng Hanh";"Hoang Hanh"
"Xã Văn Giang";"Van Giang"
"Phường Hiến Nam";"Hien Nam"
"Phường An Tảo";"An Tao"
"Phường Hồng Châu";"Hong Chau"
"Xã Bảo Khê";"Bao Khe"
"Xã Hồng Nam";"Hong Nam"
"Xã Quảng Châu";"Quang Chau"
"Thị trấn Như Quỳnh";"Nhu Quynh"
"Xã Lạc Đạo";"Lac Dao"
"Xã Chỉ Đạo";"Chi Dao"
"Xã Đình Dù";"Dinh Du"
"Xã Minh Hải";"Minh Hai"
"Xã Lương Tài";"Luong Tai"
"Xã Trưng Trắc";"Trung Trac"
"Xã Lạc Hồng";"Lac Hong"
"Thị trấn Bần Yên Nhân";"Ban Yen Nhan"
"Xã Phan Đình Phùng";"Phan Dinh Phung"
"Xã Cẩm Xá";"Cam Xa"
"Xã Hòa Phong";"Hoa Phong"
"Xã Dị Sử";"Di Su"
"Xã Bạch Sam";"Bach Sam"
"Xã Phùng Chí Kiên";"Phung Chi Kien"
"Xã Xuân Dục";"Xuan Duc"
"Xã Ngọc Lâm";"Ngoc Lam"
"Thị trấn Yên Mỹ";"Yen My"
"Xã Giai Phạm";"Giai Pham"
"Xã Nghĩa Hiệp";"Nghia Hiep"
"Xã Đồng Than";"Dong Than"
"Xã Ngọc Long";"Ngoc Long"
"Xã Liêu Xá";"Lieu Xa"
"Xã Hoàn Long";"Hoan Long"
"Xã Thanh Long";"Thanh Long"
"Xã Yên Phú";"Yen Phu"
"Xã Việt Cường";"Viet Cuong"
"Xã Yên Hòa";"Yen Hoa"
"Xã Trung Hưng";"Trung Hung"
"Xã Lý Thường Kiệt";"Ly Thuong Kiet"
"Thị trấn Văn Giang";"Van Giang"
"Xã Xuân Quan";"Xuan Quan"
"Xã Cửu Cao";"Cuu Cao"
"Xã Phụng Công";"Phung Cong"
"Xã Nghĩa Trụ";"Nghia Tru"
"Xã Long Hưng";"Long Hung"
"Xã Vĩnh Khúc";"Vinh Khuc"
"Xã Liên Nghĩa";"Lien Nghia"
"Xã Mễ Sở";"Me So"
"Thị trấn Khoái Châu";"Khoai Chau"
"Xã Đông Tảo";"Dong Tao"
"Xã Dạ Trạch";"Da Trach"
"Xã Hàm Tử";"Ham Tu"
"Xã Ông Đình";"Ong Dinh"
"Xã Tứ Dân";"Tu Dan"
"Xã An Vĩ";"An Vi"
"Xã Đông Kết";"Dong Ket"
"Xã Bình Kiều";"Binh Kieu"
"Xã Dân Tiến";"Dan Tien"
"Xã Hồng Tiến";"Hong Tien"
"Xã Tân Châu";"Tan Chau"
"Xã Phùng Hưng";"Phung Hung"
"Xã Việt Hòa";"Viet Hoa"
"Xã Đông Ninh";"Dong Ninh"
"Xã Đại Tập";"Dai Tap"
"Xã Chí Tân";"Chi Tan"
"Xã Thuần Hưng";"Thuan Hung"
"Xã Thành Công";"Thanh Cong"
"Xã Nhuế Dương";"Nhue Duong"
"Thị trấn Ân Thi";"An Thi"
"Xã Phù Ủng";"Phu Ung"
"Xã Bãi Sậy";"Bai Say"
"Xã Đào Dương";"Dao Duong"
"Xã Tân Phúc";"Tan Phuc"
"Xã Vân Du";"Van Du"
"Xã Quang Vinh";"Quang Vinh"
"Xã Xuân Trúc";"Xuan Truc"
"Xã Quảng Lãng";"Quang Lang"
"Xã Văn Nhuệ";"Van Nhue"
"Xã Đặng Lễ";"Dang Le"
"Xã Cẩm Ninh";"Cam Ninh"
"Xã Đa Lộc";"Da Loc"
"Xã Hồ Tùng Mậu";"Ho Tung Mau"
"Xã Hạ Lễ";"Ha Le"
"Xã Nghĩa Dân";"Nghia Dan"
"Xã Vĩnh Xá";"Vinh Xa"
"Xã Phạm Ngũ Lão";"Pham Ngu Lao"
"Xã Thọ Vinh";"Tho Vinh"
"Xã Đồng Thanh";"Dong Thanh"
"Xã Song Mai";"Song Mai"
